BindingDB Reactant_set_id	Ligand SMILES	Ligand InChI
52	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2cc(F)cc(F)c2)C(=O)N(CCCCCNC(=O)c2cc(F)cc(F)c2)[C@@H]1Cc1ccccc1	InChI=1S/C43H48F4N4O5/c44-33-23-31(24-34(45)27-33)41(54)48-17-9-3-11-19-50-37(21-29-13-5-1-6-14-29)39(52)40(53)38(22-30-15-7-2-8-16-30)51(43(50)56)20-12-4-10-18-49-42(55)32-25-35(46)28-36(47)26-32/h1-2,5-8,13-16,23-28,37-40,52-53H,3-4,9-12,17-22H2,(H,48,54)(H,49,55)/t37-,38-,39+,40+/m1/s1
53	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC(Br)Br)C(=O)N(CCCCCC(Br)Br)[C@@H]1Cc1ccccc1	InChI=1S/C31H42Br4N2O3/c32-27(33)17-9-3-11-19-36-25(21-23-13-5-1-6-14-23)29(38)30(39)26(22-24-15-7-2-8-16-24)37(31(36)40)20-12-4-10-18-28(34)35/h1-2,5-8,13-16,25-30,38-39H,3-4,9-12,17-22H2/t25-,26-,29+,30+/m1/s1
54	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C\C=C\c2ccccc2O)C(=O)N(C\C=C\c2ccccc2O)[C@@H]1Cc1ccccc1	InChI=1S/C37H38N2O5/c40-33-21-9-7-17-29(33)19-11-23-38-31(25-27-13-3-1-4-14-27)35(42)36(43)32(26-28-15-5-2-6-16-28)39(37(38)44)24-12-20-30-18-8-10-22-34(30)41/h1-22,31-32,35-36,40-43H,23-26H2/b19-11+,20-12+/t31-,32-,35+,36+/m1/s1
55	CSCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCO)C1=O	InChI=1S/C30H44N2O4S/c1-37-21-13-5-11-19-32-27(23-25-16-8-3-9-17-25)29(35)28(34)26(22-24-14-6-2-7-15-24)31(30(32)36)18-10-4-12-20-33/h2-3,6-9,14-17,26-29,33-35H,4-5,10-13,18-23H2,1H3/t26-,27-,28+,29+/m1/s1
56	COC(=O)CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC(=O)OC)C1=O	InChI=1S/C33H46N2O7/c1-41-29(36)19-11-5-13-21-34-27(23-25-15-7-3-8-16-25)31(38)32(39)28(24-26-17-9-4-10-18-26)35(33(34)40)22-14-6-12-20-30(37)42-2/h3-4,7-10,15-18,27-28,31-32,38-39H,5-6,11-14,19-24H2,1-2H3/t27-,28-,31+,32+/m1/s1
57	CC(C)CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC(C)C)C1=O	InChI=1S/C33H50N2O3/c1-25(2)15-11-13-21-34-29(23-27-17-7-5-8-18-27)31(36)32(37)30(24-28-19-9-6-10-20-28)35(33(34)38)22-14-12-16-26(3)4/h5-10,17-20,25-26,29-32,36-37H,11-16,21-24H2,1-4H3/t29-,30-,31+,32+/m1/s1
58	CNS(=O)(=O)OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCO)C1=O	InChI=1S/C32H49N3O7S/c1-33-43(40,41)42-23-15-5-3-13-21-35-29(25-27-18-10-7-11-19-27)31(38)30(37)28(24-26-16-8-6-9-17-26)34(32(35)39)20-12-2-4-14-22-36/h6-11,16-19,28-31,33,36-38H,2-5,12-15,20-25H2,1H3/t28-,29-,30+,31+/m1/s1
59	CC(=O)OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCO)C1=O	InChI=1S/C33H48N2O6/c1-26(37)41-23-15-5-3-13-21-35-30(25-28-18-10-7-11-19-28)32(39)31(38)29(24-27-16-8-6-9-17-27)34(33(35)40)20-12-2-4-14-22-36/h6-11,16-19,29-32,36,38-39H,2-5,12-15,20-25H2,1H3/t29-,30-,31+,32+/m1/s1
60	OCC1CC1CN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CC2CO)C1=O	InChI=1S/C29H38N2O5/c32-17-23-13-21(23)15-30-25(11-19-7-3-1-4-8-19)27(34)28(35)26(12-20-9-5-2-6-10-20)31(29(30)36)16-22-14-24(22)18-33/h1-10,21-28,32-35H,11-18H2/t21?,22?,23?,24?,25-,26-,27+,28+/m1/s1
61	OCCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCCO)C1=O	InChI=1S/C33H50N2O5/c36-23-15-5-1-3-13-21-34-29(25-27-17-9-7-10-18-27)31(38)32(39)30(26-28-19-11-8-12-20-28)35(33(34)40)22-14-4-2-6-16-24-37/h7-12,17-20,29-32,36-39H,1-6,13-16,21-26H2/t29-,30-,31+,32+/m1/s1
62	CNC(=O)CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC(=O)NC)C1=O	InChI=1S/C33H48N4O5/c1-34-29(38)19-11-5-13-21-36-27(23-25-15-7-3-8-16-25)31(40)32(41)28(24-26-17-9-4-10-18-26)37(33(36)42)22-14-6-12-20-30(39)35-2/h3-4,7-10,15-18,27-28,31-32,40-41H,5-6,11-14,19-24H2,1-2H3,(H,34,38)(H,35,39)/t27-,28-,31+,32+/m1/s1
63	CC(C)(C)CCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCC(C)(C)C)C1=O	InChI=1S/C31H46N2O3/c1-30(2,3)17-19-32-25(21-23-13-9-7-10-14-23)27(34)28(35)26(22-24-15-11-8-12-16-24)33(29(32)36)20-18-31(4,5)6/h7-16,25-28,34-35H,17-22H2,1-6H3/t25-,26-,27+,28+/m1/s1
64	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CCCCC2)C(=O)N(CC2CCCCC2)[C@@H]1Cc1ccccc1	InChI=1S/C33H46N2O3/c36-31-29(21-25-13-5-1-6-14-25)34(23-27-17-9-3-10-18-27)33(38)35(24-28-19-11-4-12-20-28)30(32(31)37)22-26-15-7-2-8-16-26/h1-2,5-8,13-16,27-32,36-37H,3-4,9-12,17-24H2/t29-,30-,31+,32+/m1/s1
65	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCc2ccccc2)C(=O)N(CCCc2ccccc2)[C@@H]1Cc1ccccc1	InChI=1S/C37H42N2O3/c40-35-33(27-31-19-9-3-10-20-31)38(25-13-23-29-15-5-1-6-16-29)37(42)39(26-14-24-30-17-7-2-8-18-30)34(36(35)41)28-32-21-11-4-12-22-32/h1-12,15-22,33-36,40-41H,13-14,23-28H2/t33-,34-,35+,36+/m1/s1
66	COCCOCn1cc(\C=C\CN2[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@@H](Cc3ccccc3)N(C\C=C\c3cnn(COCCOC)c3)C2=O)cn1	InChI=1S/C39H50N6O7/c1-49-19-21-51-29-42-27-33(25-40-42)15-9-17-44-35(23-31-11-5-3-6-12-31)37(46)38(47)36(24-32-13-7-4-8-14-32)45(39(44)48)18-10-16-34-26-41-43(28-34)30-52-22-20-50-2/h3-16,25-28,35-38,46-47H,17-24,29-30H2,1-2H3/b15-9+,16-10+/t35-,36-,37+,38+/m1/s1
67	OCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCO)C1=O	InChI=1S/C27H38N2O5/c30-17-9-7-15-28-23(19-21-11-3-1-4-12-21)25(32)26(33)24(20-22-13-5-2-6-14-22)29(27(28)34)16-8-10-18-31/h1-6,11-14,23-26,30-33H,7-10,15-20H2/t23-,24-,25+,26+/m1/s1
68	CNC(=O)OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCOC(=O)NC)C1=O	InChI=1S/C35H52N4O7/c1-36-33(42)45-23-15-5-3-13-21-38-29(25-27-17-9-7-10-18-27)31(40)32(41)30(26-28-19-11-8-12-20-28)39(35(38)44)22-14-4-6-16-24-46-34(43)37-2/h7-12,17-20,29-32,40-41H,3-6,13-16,21-26H2,1-2H3,(H,36,42)(H,37,43)/t29-,30-,31+,32+/m1/s1
69	CC(C)(O)CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC(C)(C)O)C1=O	InChI=1S/C33H50N2O5/c1-32(2,39)19-11-13-21-34-27(23-25-15-7-5-8-16-25)29(36)30(37)28(24-26-17-9-6-10-18-26)35(31(34)38)22-14-12-20-33(3,4)40/h5-10,15-18,27-30,36-37,39-40H,11-14,19-24H2,1-4H3/t27-,28-,29+,30+/m1/s1
70	C\C(=C/CN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(C\C=C(/C)C(O)=O)C1=O)C(O)=O	InChI=1S/C29H34N2O7/c1-19(27(34)35)13-15-30-23(17-21-9-5-3-6-10-21)25(32)26(33)24(18-22-11-7-4-8-12-22)31(29(30)38)16-14-20(2)28(36)37/h3-14,23-26,32-33H,15-18H2,1-2H3,(H,34,35)(H,36,37)/b19-13+,20-14+/t23-,24-,25+,26+/m1/s1
71	CC(C)CN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC(C)C)C1=O	InChI=1S/C27H38N2O3/c1-19(2)17-28-23(15-21-11-7-5-8-12-21)25(30)26(31)24(16-22-13-9-6-10-14-22)29(27(28)32)18-20(3)4/h5-14,19-20,23-26,30-31H,15-18H2,1-4H3/t23-,24-,25+,26+/m1/s1
72	OCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCO)C1=O	InChI=1S/C25H34N2O5/c28-15-7-13-26-21(17-19-9-3-1-4-10-19)23(30)24(31)22(18-20-11-5-2-6-12-20)27(25(26)32)14-8-16-29/h1-6,9-12,21-24,28-31H,7-8,13-18H2/t21-,22-,23+,24+/m1/s1
73	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2ccccc2)C(=O)N(CCCCCNC(=O)c2ccccc2)[C@@H]1Cc1ccccc1	InChI=1S/C43H52N4O5/c48-39-37(31-33-19-7-1-8-20-33)46(29-17-5-15-27-44-41(50)35-23-11-3-12-24-35)43(52)47(38(40(39)49)32-34-21-9-2-10-22-34)30-18-6-16-28-45-42(51)36-25-13-4-14-26-36/h1-4,7-14,19-26,37-40,48-49H,5-6,15-18,27-32H2,(H,44,50)(H,45,51)/t37-,38-,39+,40+/m1/s1
74	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCOC=C)C(=O)N(CCOC=C)[C@@H]1Cc1ccccc1	InChI=1S/C27H34N2O5/c1-3-33-17-15-28-23(19-21-11-7-5-8-12-21)25(30)26(31)24(20-22-13-9-6-10-14-22)29(27(28)32)16-18-34-4-2/h3-14,23-26,30-31H,1-2,15-20H2/t23-,24-,25+,26+/m1/s1
75	CC(=O)CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC(C)=O)C1=O	InChI=1S/C31H42N2O5/c1-23(34)13-9-11-19-32-27(21-25-15-5-3-6-16-25)29(36)30(37)28(22-26-17-7-4-8-18-26)33(31(32)38)20-12-10-14-24(2)35/h3-8,15-18,27-30,36-37H,9-14,19-22H2,1-2H3/t27-,28-,29+,30+/m1/s1
76	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC#N)C(=O)N(CCCCC#N)[C@@H]1Cc1ccccc1	InChI=1S/C29H36N4O3/c30-17-9-3-11-19-32-25(21-23-13-5-1-6-14-23)27(34)28(35)26(22-24-15-7-2-8-16-24)33(29(32)36)20-12-4-10-18-31/h1-2,5-8,13-16,25-28,34-35H,3-4,9-12,19-22H2/t25-,26-,27+,28+/m1/s1
77	CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCc2ccccc2)C1=O	InChI=1S/C31H38N2O3/c1-2-3-20-32-27(22-25-15-9-5-10-16-25)29(34)30(35)28(23-26-17-11-6-12-18-26)33(31(32)36)21-19-24-13-7-4-8-14-24/h4-18,27-30,34-35H,2-3,19-23H2,1H3/t27-,28-,29+,30+/m1/s1
78	COCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCOC)C1=O	InChI=1S/C31H46N2O5/c1-37-21-13-5-11-19-32-27(23-25-15-7-3-8-16-25)29(34)30(35)28(24-26-17-9-4-10-18-26)33(31(32)36)20-12-6-14-22-38-2/h3-4,7-10,15-18,27-30,34-35H,5-6,11-14,19-24H2,1-2H3/t27-,28-,29+,30+/m1/s1
79	CCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC)C1=O	InChI=1S/C23H30N2O3/c1-3-24-19(15-17-11-7-5-8-12-17)21(26)22(27)20(25(4-2)23(24)28)16-18-13-9-6-10-14-18/h5-14,19-22,26-27H,3-4,15-16H2,1-2H3/t19-,20-,21+,22+/m1/s1
80	CC(C)CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC(C)C)C1=O	InChI=1S/C35H54N2O3/c1-27(2)17-9-7-15-23-36-31(25-29-19-11-5-12-20-29)33(38)34(39)32(26-30-21-13-6-14-22-30)37(35(36)40)24-16-8-10-18-28(3)4/h5-6,11-14,19-22,27-28,31-34,38-39H,7-10,15-18,23-26H2,1-4H3/t31-,32-,33+,34+/m1/s1
81	CNC(=O)OCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCOC(=O)NC)C1=O	InChI=1S/C33H48N4O7/c1-34-31(40)43-21-13-5-11-19-36-27(23-25-15-7-3-8-16-25)29(38)30(39)28(24-26-17-9-4-10-18-26)37(33(36)42)20-12-6-14-22-44-32(41)35-2/h3-4,7-10,15-18,27-30,38-39H,5-6,11-14,19-24H2,1-2H3,(H,34,40)(H,35,41)/t27-,28-,29+,30+/m1/s1
82	CNC(=S)NCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=S)NC)C1=O	InChI=1S/C33H50N6O3S2/c1-34-31(43)36-19-11-5-13-21-38-27(23-25-15-7-3-8-16-25)29(40)30(41)28(24-26-17-9-4-10-18-26)39(33(38)42)22-14-6-12-20-37-32(44)35-2/h3-4,7-10,15-18,27-30,40-41H,5-6,11-14,19-24H2,1-2H3,(H2,34,36,43)(H2,35,37,44)/t27-,28-,29+,30+/m1/s1
83	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC=C)C(=O)N(CCCN2C(=O)c3ccccc3C2=O)[C@@H]1Cc1ccccc1	InChI=1S/C33H35N3O5/c1-2-18-34-27(21-23-12-5-3-6-13-23)29(37)30(38)28(22-24-14-7-4-8-15-24)35(33(34)41)19-11-20-36-31(39)25-16-9-10-17-26(25)32(36)40/h2-10,12-17,27-30,37-38H,1,11,18-22H2/t27-,28-,29+,30+/m1/s1
84	CC(C)(CO)CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC(C)(C)CO)C1=O	InChI=1S/C35H54N2O5/c1-34(2,25-38)19-11-13-21-36-29(23-27-15-7-5-8-16-27)31(40)32(41)30(24-28-17-9-6-10-18-28)37(33(36)42)22-14-12-20-35(3,4)26-39/h5-10,15-18,29-32,38-41H,11-14,19-26H2,1-4H3/t29-,30-,31+,32+/m1/s1
85	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCC(N=O)c2ccc(F)cc2)C(=O)N(CCCC(N=O)c2ccc(F)cc2)[C@@H]1Cc1ccccc1	InChI=1S/C39H42F2N4O5/c40-31-19-15-29(16-20-31)33(42-49)13-7-23-44-35(25-27-9-3-1-4-10-27)37(46)38(47)36(26-28-11-5-2-6-12-28)45(39(44)48)24-8-14-34(43-50)30-17-21-32(41)22-18-30/h1-6,9-12,15-22,33-38,46-47H,7-8,13-14,23-26H2/t33?,34?,35-,36-,37+,38+/m1/s1
86	CNC(=O)OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCOC(C)=O)C1=O	InChI=1S/C35H51N3O7/c1-27(39)44-23-15-5-3-13-21-37-30(25-28-17-9-7-10-18-28)32(40)33(41)31(26-29-19-11-8-12-20-29)38(35(37)43)22-14-4-6-16-24-45-34(42)36-2/h7-12,17-20,30-33,40-41H,3-6,13-16,21-26H2,1-2H3,(H,36,42)/t30-,31-,32+,33+/m1/s1
87	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)CN2CCOCC2)C(=O)N(CCCCCNC(=O)CN2CCOCC2)[C@@H]1Cc1ccccc1	InChI=1S/C41H62N6O7/c48-37(31-44-21-25-53-26-22-44)42-17-9-3-11-19-46-35(29-33-13-5-1-6-14-33)39(50)40(51)36(30-34-15-7-2-8-16-34)47(41(46)52)20-12-4-10-18-43-38(49)32-45-23-27-54-28-24-45/h1-2,5-8,13-16,35-36,39-40,50-51H,3-4,9-12,17-32H2,(H,42,48)(H,43,49)/t35-,36-,39+,40+/m1/s1
88	CS(=O)(=O)NCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNS(C)(=O)=O)C1=O	InChI=1S/C31H48N4O7S2/c1-43(39,40)32-19-11-5-13-21-34-27(23-25-15-7-3-8-16-25)29(36)30(37)28(24-26-17-9-4-10-18-26)35(31(34)38)22-14-6-12-20-33-44(2,41)42/h3-4,7-10,15-18,27-30,32-33,36-37H,5-6,11-14,19-24H2,1-2H3/t27-,28-,29+,30+/m1/s1
89	CNCC(=O)NCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)CNC)C1=O	InChI=1S/C35H54N6O5/c1-36-25-31(42)38-19-11-5-13-21-40-29(23-27-15-7-3-8-16-27)33(44)34(45)30(24-28-17-9-4-10-18-28)41(35(40)46)22-14-6-12-20-39-32(43)26-37-2/h3-4,7-10,15-18,29-30,33-34,36-37,44-45H,5-6,11-14,19-26H2,1-2H3,(H,38,42)(H,39,43)/t29-,30-,33+,34+/m1/s1
90	Cc1ccc(cc1)S(=O)(=O)NCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNS(=O)(=O)c2ccc(C)cc2)C1=O	InChI=1S/C43H56N4O7S2/c1-33-19-23-37(24-20-33)55(51,52)44-27-11-5-13-29-46-39(31-35-15-7-3-8-16-35)41(48)42(49)40(32-36-17-9-4-10-18-36)47(43(46)50)30-14-6-12-28-45-56(53,54)38-25-21-34(2)22-26-38/h3-4,7-10,15-26,39-42,44-45,48-49H,5-6,11-14,27-32H2,1-2H3/t39-,40-,41+,42+/m1/s1
91	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2ccccc2F)C(=O)N(CCCCCNC(=O)c2ccccc2F)[C@@H]1Cc1ccccc1	InChI=1S/C43H50F2N4O5/c44-35-23-11-9-21-33(35)41(52)46-25-13-3-15-27-48-37(29-31-17-5-1-6-18-31)39(50)40(51)38(30-32-19-7-2-8-20-32)49(43(48)54)28-16-4-14-26-47-42(53)34-22-10-12-24-36(34)45/h1-2,5-12,17-24,37-40,50-51H,3-4,13-16,25-30H2,(H,46,52)(H,47,53)/t37-,38-,39+,40+/m1/s1
92	CCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCC)C1=O	InChI=1S/C33H50N2O3/c1-3-5-7-9-17-23-34-29(25-27-19-13-11-14-20-27)31(36)32(37)30(26-28-21-15-12-16-22-28)35(33(34)38)24-18-10-8-6-4-2/h11-16,19-22,29-32,36-37H,3-10,17-18,23-26H2,1-2H3/t29-,30-,31+,32+/m1/s1
93	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=S)Nc2ccccc2)C(=O)N(CCCCCNC(=S)Nc2ccccc2)[C@@H]1Cc1ccccc1	InChI=1S/C43H54N6O3S2/c50-39-37(31-33-19-7-1-8-20-33)48(29-17-5-15-27-44-41(53)46-35-23-11-3-12-24-35)43(52)49(38(40(39)51)32-34-21-9-2-10-22-34)30-18-6-16-28-45-42(54)47-36-25-13-4-14-26-36/h1-4,7-14,19-26,37-40,50-51H,5-6,15-18,27-32H2,(H2,44,46,53)(H2,45,47,54)/t37-,38-,39+,40+/m1/s1
94	CNC(=O)NCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)NC)C1=O	InChI=1S/C33H50N6O5/c1-34-31(42)36-19-11-5-13-21-38-27(23-25-15-7-3-8-16-25)29(40)30(41)28(24-26-17-9-4-10-18-26)39(33(38)44)22-14-6-12-20-37-32(43)35-2/h3-4,7-10,15-18,27-30,40-41H,5-6,11-14,19-24H2,1-2H3,(H2,34,36,42)(H2,35,37,43)/t27-,28-,29+,30+/m1/s1
95	CSc1nnc(NCC=CCN2[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@@H](Cc3ccccc3)N(CC=CCNc3nnc(SC)[nH]3)C2=O)[nH]1	InChI=1S/C33H42N10O3S2/c1-47-31-36-29(38-40-31)34-17-9-11-19-42-25(21-23-13-5-3-6-14-23)27(44)28(45)26(22-24-15-7-4-8-16-24)43(33(42)46)20-12-10-18-35-30-37-32(48-2)41-39-30/h3-16,25-28,44-45H,17-22H2,1-2H3,(H2,34,36,38,40)(H2,35,37,39,41)/t25-,26-,27+,28+/m1/s1
96	COC(=O)NCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)OC)C1=O	InChI=1S/C33H48N4O7/c1-43-31(40)34-19-11-5-13-21-36-27(23-25-15-7-3-8-16-25)29(38)30(39)28(24-26-17-9-4-10-18-26)37(33(36)42)22-14-6-12-20-35-32(41)44-2/h3-4,7-10,15-18,27-30,38-39H,5-6,11-14,19-24H2,1-2H3,(H,34,40)(H,35,41)/t27-,28-,29+,30+/m1/s1
97	CC(=O)NCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(C)=O)C1=O	InChI=1S/C33H48N4O5/c1-25(38)34-19-11-5-13-21-36-29(23-27-15-7-3-8-16-27)31(40)32(41)30(24-28-17-9-4-10-18-28)37(33(36)42)22-14-6-12-20-35-26(2)39/h3-4,7-10,15-18,29-32,40-41H,5-6,11-14,19-24H2,1-2H3,(H,34,38)(H,35,39)/t29-,30-,31+,32+/m1/s1
98	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C[C@@H]2CC2(c2ccccc2)c2ccccc2)C(=O)N(C[C@@H]2CC2(c2ccccc2)c2ccccc2)[C@@H]1Cc1ccccc1	InChI=1S/C51H50N2O3/c54-47-45(31-37-19-7-1-8-20-37)52(35-43-33-50(43,39-23-11-3-12-24-39)40-25-13-4-14-26-40)49(56)53(46(48(47)55)32-38-21-9-2-10-22-38)36-44-34-51(44,41-27-15-5-16-28-41)42-29-17-6-18-30-42/h1-30,43-48,54-55H,31-36H2/t43-,44-,45+,46+,47-,48-/m0/s1
99	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C[C@@H]2C[C@H]2c2ccccc2)C(=O)N(C[C@H]2C[C@@H]2c2ccccc2)[C@@H]1Cc1ccccc1	InChI=1S/C39H42N2O3/c42-37-35(21-27-13-5-1-6-14-27)40(25-31-23-33(31)29-17-9-3-10-18-29)39(44)41(26-32-24-34(32)30-19-11-4-12-20-30)36(38(37)43)22-28-15-7-2-8-16-28/h1-20,31-38,42-43H,21-26H2/t31-,32+,33-,34+,35-,36-,37+,38+/m1/s1
100	OCCCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCCCO)C1=O	InChI=1S/C35H54N2O5/c38-25-17-7-3-1-5-15-23-36-31(27-29-19-11-9-12-20-29)33(40)34(41)32(28-30-21-13-10-14-22-30)37(35(36)42)24-16-6-2-4-8-18-26-39/h9-14,19-22,31-34,38-41H,1-8,15-18,23-28H2/t31-,32-,33+,34+/m1/s1
